# MACSJ0416 photometric redshifts
# M0416cl_A.cat IDs cross matched wth M0416cl_ZPHOT.cat
# ID RA[deg] DEC[deg] ZBEST ZBEST_SIG ZPHOTFLAG
512 64.012321 -24.085033 0.5383 2.25 0
513 64.022346 -24.084698 6.79005 2.5758 0
514 64.035439 -24.084681 4.268999 0.06005 0
515 64.019592 -24.084894 3.26 0.03175 0
516 64.036018 -24.085567 0.6601 0.039 0
517 64.033562 -24.085497 0.3275 0.0159 0
518 64.04673 -24.084555 2.1837 0.0505 0
519 64.015961 -24.084709 2.2081 1.7865 0
520 64.026703 -24.085243 3.74485 1.7515 0
521 64.049332 -24.084478 0.3465 0.28 0
522 64.037918 -24.08448 4.0957 0.0935 0
523 64.020355 -24.085094 1.8791 0.057 0
524 64.024895 -24.084393 5.196151 0.075 0
525 64.021721 -24.084341 2.75095 0.11 0
526 64.028511 -24.085476 0.134 0.0565 0
527 64.049728 -24.084295 1.29 0.045 0
528 64.03331 -24.084278 0.0885 0.02 0
529 64.029823 -24.085129 3.03835 0.07 0
530 64.048492 -24.084435 3.29475 1.5155 0
531 64.031036 -24.084883 4.16675 0.063 0
532 64.012482 -24.085358 1.25 0.06145 0
533 64.044937 -24.084503 0.16 0.076 0
534 64.019913 -24.08423 2.465 0.0923 0
535 64.019279 -24.084993 0.3375 0.0085 0
536 64.046417 -24.084211 0.0775 0.0395 0
537 64.048653 -24.08415 1.934 0.03 0
538 64.052277 -24.084545 8.71175 3.616 0
539 64.028488 -24.084211 0.4538 0.0 1
540 64.028351 -24.08456 2.5345 0.26665 0
541 64.043877 -24.084658 1.8493 0.0 1
542 64.042938 -24.084669 1.587 0.0635 0
543 64.051788 -24.084103 3.992 0.401 0
544 64.040184 -24.084085 3.95 0.0208 0
545 64.01284 -24.084133 3.5015 2.46 0
546 64.042686 -24.084044 2.2462 0.019 0
547 64.014801 -24.084812 1.064 0.03 0
548 64.019035 -24.084032 4.7075 0.1367 0
549 64.051949 -24.08416 2.607999 0.355 0
550 64.032028 -24.084238 1.57 2.0905 0
551 64.014366 -24.084253 2.965 0.29665 0
552 64.044617 -24.084011 1.9 0.209 0
553 64.040482 -24.084066 4.187999 0.1105 0
554 64.036453 -24.083981 2.24 0.02255 0
555 64.043945 -24.083958 2.515 0.087 0
556 64.040489 -24.084429 3.347399 0.074 0
557 64.013184 -24.083942 2.0245 0.22 0
558 64.022118 -24.084042 0.5445 0.223 0
559 64.042389 -24.083902 3.5768 0.031 0
560 64.043091 -24.084167 2.035 0.05825 0
561 64.026962 -24.083893 0.01 0.02 0
562 64.053886 -24.083855 6.66005 0.04475 0
563 64.025505 -24.083818 3.6665 0.1235 0
564 64.046852 -24.08382 2.3 0.24 0
